dia,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
1,45,45,45,45,45,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,45,45,45,44,44
1,46,46,46,46,46,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,46,46,46,45,45
1,47,47,47,47,47,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,46,47,47,47,46,46
1,48,48,48,48,48,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,48,48,48,47,47
1,49,49,49,49,49,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,49,49,49,48,48
1,50,50,50,50,50,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49,50,50,50,49,49
1,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,51,51,51,50,50
1,52,52,52,52,52,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,51,52,52,52,51,51
1,53,53,53,53,53,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,52,53,53,53,52,52
1,54,54,54,54,54,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,54,54,54,53,53
1,55,55,55,55,55,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,54,55,55,55,54,54
1,56,56,56,56,56,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,55,56,56,56,55,55
1,57,57,57,57,57,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,56,57,57,57,56,56
1,58,58,58,58,58,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,57,58,58,58,57,57
1,59,59,59,59,59,58,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,58,59,59,59,58,58
1,60,60,60,60,60,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,59,60,60,60,59,59
1,61,61,61,61,61,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,60,61,61,61,60,60
1,62,62,62,62,62,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,61,62,62,62,61,61
1,63,63,63,63,63,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,62,63,63,63,62,62
1,64,64,64,64,64,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,63,64,64,64,63,63
1,65,65,65,65,65,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,65,65,65,64,64
1,66,66,66,66,66,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,65,66,66,66,65,65
1,67,67,67,67,67,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,66,67,67,67,66,66
1,68,68,68,68,68,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,67,68,68,68,67,67
1,69,69,69,69,69,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,68,69,69,69,68,68
1,70,70,70,70,70,69,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,69,70,70,70,69,69
1,71,71,71,71,71,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,70,71,71,71,70,70
1,72,72,72,72,72,71,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,72,71,71
1,73,73,73,73,73,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,72,73,73,73,72,72
1,74,74,74,74,74,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,73,74,74,74,73,73
1,75,75,75,75,75,74,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,74,75,75,75,74,74
1,76,76,76,76,76,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,75,76,76,76,75,75
1,77,77,77,77,77,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,76,77,77,77,76,76
1,78,78,78,78,78,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,77,78,78,78,77,77
1,79,79,79,79,79,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,78,79,79,79,78,78
1,80,80,80,80,80,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,79,80,80,80,79,79
1,81,81,81,81,81,80,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,80,81,81,81,80,80
1,82,82,82,82,82,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,81,82,82,82,81,81
1,83,83,83,83,83,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,82,83,83,83,82,82
1,84,84,84,84,84,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,83,84,84,84,83,83
1,85,85,85,85,85,84,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,84,85,85,85,84,84
1,86,86,86,86,86,85,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,85,86,86,86,85,85
1,87,87,87,87,87,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,86,87,87,87,86,86
1,88,88,88,88,88,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,87,88,88,88,87,87
1,89,89,89,89,89,88,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,88,89,89,89,88,88
1,90,90,90,90,90,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,89,90,90,90,89,89
1,91,91,91,91,91,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,90,91,91,91,90,90
1,92,92,92,92,92,91,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,91,92,92,92,91,91
1,93,93,93,93,93,92,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,92,93,93,93,92,92
1,94,94,94,94,94,93,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,93,94,94,94,93,93
1,95,95,95,95,95,94,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,94,95,95,95,94,94
2,96,96,96,96,96,95,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,95,96,96,96,95,95
2,97,97,97,97,97,96,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,96,97,97,97,96,96
2,98,98,98,98,98,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,97,98,98,98,97,97
2,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,98,98
2,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,99,99
2,101,101,101,101,101,100,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,100,101,101,101,100,100
2,102,102,102,102,102,101,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101,102,102,102,101,101
2,103,103,103,103,103,102,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,102,103,103,103,102,102
2,104,104,104,104,104,103,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,103,104,104,104,103,103
2,105,105,105,105,105,104,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,104,105,105,105,104,104
2,106,106,106,106,106,105,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,105,106,106,106,105,105
2,107,107,107,107,107,106,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,106,107,107,107,106,106
2,108,108,108,108,108,107,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,107,108,108,108,107,107
2,109,109,109,109,109,108,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,108,109,109,109,108,108
2,110,110,110,110,110,109,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,109,110,110,110,109,109
2,111,111,111,111,111,110,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,110,111,111,111,110,110
2,112,112,112,112,112,111,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,111,112,112,112,111,111
2,113,113,113,113,113,112,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,112,113,113,113,112,112
2,114,114,114,114,114,113,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,113,114,114,114,113,113
2,115,115,115,115,115,114,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,114,115,115,115,114,114
2,116,116,116,116,116,115,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,115,116,116,116,115,115
2,117,117,117,117,117,116,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,116,117,117,117,116,116
2,118,118,118,118,118,117,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,117,118,118,118,117,117
2,119,119,119,119,119,118,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,118,119,119,119,118,118
2,120,120,120,120,120,119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,119,120,120,120,119,119
2,121,121,121,121,121,120,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,120,121,121,121,120,120
2,122,122,122,122,122,121,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,121,122,122,122,121,121
2,123,123,123,123,123,122,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,122,123,123,123,122,122
2,124,124,124,124,124,123,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,123,124,124,124,123,123
2,125,125,125,125,125,124,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,124,125,125,125,124,124
2,126,126,126,126,126,125,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,125,126,126,126,125,125
2,127,127,127,127,127,126,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,126,127,127,127,126,126
2,128,128,128,128,128,127,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127,128,128,128,127,127
2,129,129,129,129,129,128,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,128,129,129,129,128,128
2,130,130,130,130,130,129,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,130,130,130,129,129
2,131,131,131,131,131,130,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,130,131,131,131,130,130
2,132,132,132,132,132,131,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,131,132,132,132,131,131
2,133,133,133,133,133,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,132,133,133,133,132,132
2,134,134,134,134,134,133,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,133,134,134,134,133,133
2,135,135,135,135,135,134,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,134,135,135,135,134,134
2,136,136,136,136,136,135,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,135,136,136,136,135,135
2,137,137,137,137,137,136,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,136,137,137,137,136,136
2,138,138,138,138,138,137,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,137,138,138,138,137,137
2,139,139,139,139,139,138,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,138,139,139,139,138,138
2,140,140,140,140,140,139,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,139,140,140,140,139,139
2,141,141,141,141,141,140,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,140,141,141,141,140,140
2,142,142,142,142,142,141,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,141,142,142,142,141,141
2,143,143,143,143,143,142,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,142,143,143,143,142,142
2,144,144,144,144,144,143,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,143,144,144,144,143,143
2,145,145,145,145,145,144,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144,145,145,145,144,144
2,146,146,146,146,146,145,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,145,146,146,146,145,145
2,147,147,147,147,147,146,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,146,147,147,147,146,146
2,148,148,148,148,148,147,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,147,148,148,148,147,147
2,149,149,149,149,149,148,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,148,149,149,149,148,148
2,150,150,150,150,150,149,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,149,150,150,150,149,149
2,151,151,151,151,151,150,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,150,151,151,151,150,150
2,152,152,152,152,152,151,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,151,152,152,152,151,151
2,153,153,153,153,153,152,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,152,153,153,153,152,152
2,154,154,154,154,154,153,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,153,154,154,154,153,153
2,155,155,155,155,155,154,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,154,155,155,155,154,154
2,156,156,156,156,156,155,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,155,156,156,156,155,155
2,157,157,157,157,157,156,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,156,157,157,157,156,156
2,158,158,158,158,158,157,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,157,158,158,158,157,157
2,159,159,159,159,159,158,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,158,159,159,159,158,158
2,160,160,160,160,160,159,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,159,160,160,160,159,159
2,161,161,161,161,161,160,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,160,161,161,161,160,160
2,162,162,162,162,162,161,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,161,162,162,162,161,161
2,163,163,163,163,163,162,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,162,163,163,163,162,162
2,164,164,164,164,164,163,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,163,164,164,164,163,163
2,165,165,165,165,165,164,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,164,165,165,165,164,164
2,166,166,166,166,166,165,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,165,166,166,166,165,165
2,167,167,167,167,167,166,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,166,167,167,167,166,166
2,168,168,168,168,168,167,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,167,168,168,168,167,167
2,169,169,169,169,169,168,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,168,169,169,169,168,168
2,170,170,170,170,170,169,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,169,170,170,170,169,169
2,171,171,171,171,171,170,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,170,171,171,171,170,170
2,172,172,172,172,172,171,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,171,172,172,172,171,171
2,173,173,173,173,173,172,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,172,173,173,173,172,172
2,174,174,174,174,174,173,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,173,174,174,174,173,173
2,175,175,175,175,175,174,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,174,175,175,175,174,174
2,176,176,176,176,176,175,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,175,176,176,176,175,175
2,177,177,177,177,177,176,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,176,177,177,177,176,176
2,178,178,178,178,178,177,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,177,178,178,178,177,177
2,179,179,179,179,179,178,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,178,179,179,179,178,178
2,180,180,180,180,180,179,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,179,180,180,180,179,179
2,181,181,181,181,181,180,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,180,181,181,181,180,180
2,182,182,182,182,182,181,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,181,182,182,182,181,181
2,183,183,183,183,183,182,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,182,183,183,183,182,182
2,184,184,184,184,184,183,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,183,184,184,184,183,183
2,185,185,185,185,185,184,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,184,185,185,185,184,184
2,186,186,186,186,186,185,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,185,186,186,186,185,185
2,187,187,187,187,187,186,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,186,187,187,187,186,186
2,188,188,188,188,188,187,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,187,188,188,188,187,187
2,189,189,189,189,189,188,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,188,189,189,189,188,188
2,190,190,190,190,190,189,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,189,190,190,190,189,189
3,191,191,191,191,191,190,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,190,191,191,191,190,190
3,192,192,192,192,192,191,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,191,192,192,192,191,191
3,193,193,193,193,193,192,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,192,193,193,193,192,192
3,194,194,194,194,194,193,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,193,194,194,194,193,193
3,195,195,195,195,195,194,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,194,195,195,195,194,194
3,196,196,196,196,196,195,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,195,196,196,196,195,195
3,197,197,197,197,197,196,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,196,197,197,197,196,196
3,198,198,198,198,198,197,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,197,198,198,198,197,197
3,199,199,199,199,199,198,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,198,199,199,199,198,198
3,200,200,200,200,200,199,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,199,200,200,200,199,199
3,201,201,201,201,201,200,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,200,201,201,201,200,200
3,202,202,202,202,202,201,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,201,202,202,202,201,201
3,203,203,203,203,203,202,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,202,203,203,203,202,202
3,204,204,204,204,204,203,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,203,204,204,204,203,203
3,205,205,205,205,205,204,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,204,205,205,205,204,204
3,206,206,206,206,206,205,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,205,206,206,206,205,205
3,207,207,207,207,207,206,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,206,207,207,207,206,206
3,208,208,208,208,208,207,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,207,208,208,208,207,207
3,209,209,209,209,209,208,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,208,209,209,209,208,208
3,210,210,210,210,210,209,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,209,210,210,210,209,209
3,211,211,211,211,211,210,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,210,211,211,211,210,210
3,212,212,212,212,212,211,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,211,212,212,212,211,211
3,213,213,213,213,213,212,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,212,213,213,213,212,212
3,214,214,214,214,214,213,214,214,214,214,214,214,214,214,214,214,214,214,214,214,214,213,214,214,214,213,213
3,215,215,215,215,215,214,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,214,215,215,215,214,214
3,216,216,216,216,216,215,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,215,216,216,216,215,215
3,217,217,217,217,217,216,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,216,217,217,217,216,216
3,218,218,218,218,218,217,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,217,218,218,218,217,217
3,219,219,219,219,219,218,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,218,219,219,219,218,218
3,220,220,220,220,220,219,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,219,220,220,220,219,219
3,221,221,221,221,221,220,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,220,221,221,221,220,220
3,222,222,222,222,222,221,222,222,222,222,222,222,222,222,222,222,222,222,222,222,222,221,222,222,222,221,221
3,223,223,223,223,223,222,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223,222,223,223,223,222,222
3,224,224,224,224,224,223,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,223,224,224,224,223,223
3,225,225,225,225,225,224,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,224,225,225,225,224,224
3,226,226,226,226,226,225,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,225,226,226,226,225,225
3,227,227,227,227,227,226,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,226,227,227,227,226,226
3,228,228,228,228,228,227,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,227,228,228,228,227,227
3,229,229,229,229,229,228,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,228,229,229,229,228,228
3,230,230,230,230,230,229,230,230,230,230,230,230,230,230,230,230,230,230,230,230,230,229,230,230,230,229,229
3,231,231,231,231,231,230,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231,230,231,231,231,230,230
3,232,232,232,232,232,231,232,232,232,232,232,232,232,232,232,232,232,232,232,232,232,231,232,232,232,231,231
3,233,233,233,233,233,232,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,232,233,233,233,232,232
3,234,234,234,234,234,233,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,233,234,234,234,233,233
3,235,235,235,235,235,234,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,234,235,235,235,234,234
3,236,236,236,236,236,235,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,235,236,236,236,235,235
3,237,237,237,237,237,236,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,236,237,237,237,236,236
3,238,238,238,238,238,237,238,238,238,238,238,238,238,238,238,238,238,238,238,238,238,237,238,238,238,237,237
3,239,239,239,239,239,238,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,238,239,239,239,238,238
3,240,240,240,240,240,239,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,239,240,240,240,239,239
3,241,241,241,241,241,240,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,240,241,241,241,240,240
3,242,242,242,242,242,241,242,242,242,242,242,242,242,242,242,242,242,242,242,242,242,241,242,242,242,241,241
3,243,243,243,243,243,242,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,242,243,243,243,242,242
3,244,244,244,244,244,243,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244,243,244,244,244,243,243
3,245,245,245,245,245,244,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,244,245,245,245,244,244
3,246,246,246,246,246,245,246,246,246,246,246,246,246,246,246,246,246,246,246,246,246,245,246,246,246,245,245
3,247,247,247,247,247,246,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,246,247,247,247,246,246
